RICHMOND HILL,less than 1 day,Street Condition
BROOKLYN,longer than 1 month,PAINT - PLASTER
NEW YORK,less than 20 days,PLUMBING
FLUSHING,less than 1 day,Sanitation Condition
FRESH MEADOWS,less than 1 day,Missed Collection (All Materials)
BROOKLYN,less than 1 day,Sanitation Condition
STATEN ISLAND,less than 1 day,Traffic Signal Condition
STATEN ISLAND,less than 1 day,Traffic Signal Condition
STATEN ISLAND,less than 5 days,Vacant Lot
NEW YORK,less than 1 day,HEATING
STATEN ISLAND,less than 1 day,Traffic Signal Condition
STATEN ISLAND,less than 1 day,Traffic Signal Condition
NEW YORK,less than 1 day,Air Quality
WOODSIDE,less than 1 day,Missed Collection (All Materials)
NEW YORK,less than 1 day,Dirty Conditions
NEW YORK,less than 1 day,Dirty Conditions
BRONX,less than 1 day,Water System
NEW YORK,less than 1 day,Noise
SAINT ALBANS,less than 1 day,Sewer
BROOKLYN,less than 5 days,Noise
BROOKLYN,less than 5 days,Noise
BROOKLYN,less than 1 day,Sewer
NEW YORK,less than 5 days,HEATING
BRONX,longer than 1 month,Water System
NEW YORK,less than 5 days,Noise
FLUSHING,less than 10 days,Noise
BROOKLYN,less than 1 day,Sanitation Condition
ASTORIA,longer than 1 month,Boilers
FLUSHING,less than 5 days,PLUMBING
NEW YORK,less than 10 days,HEATING
NEW YORK,less than 5 days,HEATING
FLUSHING,less than 1 day,General Construction/Plumbing
NEW YORK,less than 10 days,Investigations and Discipline (IAD)
ASTORIA,less than 20 days,GENERAL CONSTRUCTION
BROOKLYN,less than 10 days,PAINT - PLASTER
BROOKLYN,longer than 1 month,PAINT - PLASTER
NEW YORK,less than 5 days,General Construction/Plumbing
LONG ISLAND CITY,less than 1 day,Missed Collection (All Materials)
BROOKLYN,less than 5 days,HEATING
NEW YORK,less than 1 day,Sewer
NEW YORK,less than 1 day,General Construction/Plumbing
BRONX,longer than 1 month,PLUMBING
WHITESTONE,less than 5 days,Water System
NEW YORK,less than 1 month,Water Quality
BROOKLYN,less than 20 days,PAINT - PLASTER
BROOKLYN,longer than 1 month,PLUMBING
SOUTH OZONE PARK,longer than 1 month,Sewer
STATEN ISLAND,less than 1 day,Missed Collection (All Materials)
BROOKLYN,less than 10 days,HEATING
BROOKLYN,less than 1 month,Emergency Response Team (ERT)
BROOKLYN,less than 1 day,Sewer
COLLEGE POINT,less than 5 days,Water System
STATEN ISLAND,less than 1 day,Water System
ASTORIA,less than 5 days,General Construction/Plumbing
BRONX,less than 10 days,Dirty Conditions
BROOKLYN,less than 1 day,General Construction/Plumbing
BRONX,less than 10 days,PAINT - PLASTER
